fecha,precio_cierre,retorno_diario,media_movil_10,tendencia
2023-01-02,100.54,0.0,,baja
2023-01-03,100.44,-0.00099,,baja
2023-01-04,101.13,0.00687,,alza
2023-01-05,102.71,0.01562,,alza
2023-01-06,102.51,-0.00195,,baja
2023-01-09,102.31,-0.00195,,baja
2023-01-10,103.97,0.01623,,alza
2023-01-11,104.81,0.00808,,alza
2023-01-12,104.36,-0.00429,,baja
2023-01-13,104.96,0.00575,102.77,alza
2023-01-16,104.52,-0.00419,103.17,baja
2023-01-17,104.08,-0.00421,103.54,baja
2023-01-18,104.37,0.00279,103.86,alza
2023-01-19,102.41,-0.01878,103.83,baja
2023-01-20,100.69,-0.0168,103.65,baja
2023-01-23,100.16,-0.00526,103.43,baja
2023-01-24,99.19,-0.00968,102.96,baja
2023-01-25,99.54,0.00353,102.43,alza
2023-01-26,98.68,-0.00864,101.86,baja
2023-01-27,97.32,-0.01378,101.1,baja
2023-01-30,98.79,0.0151,100.52,alza
2023-01-31,98.6,-0.00192,99.98,baja
2023-02-01,98.71,0.00112,99.41,alza
2023-02-02,97.34,-0.01388,98.9,baja
2023-02-03,96.85,-0.00503,98.52,baja
2023-02-06,97.0,0.00155,98.2,alza
2023-02-07,95.92,-0.01113,97.88,baja
2023-02-08,96.32,0.00417,97.55,alza
2023-02-09,95.78,-0.00561,97.26,baja
2023-02-10,95.54,-0.00251,97.08,baja
2023-02-13,95.0,-0.00565,96.71,baja
2023-02-14,96.8,0.01895,96.53,alza
2023-02-15,96.82,0.00021,96.34,alza
2023-02-16,95.84,-0.01012,96.19,baja
2023-02-17,96.67,0.00866,96.17,alza
2023-02-20,95.52,-0.0119,96.02,baja
2023-02-21,95.76,0.00251,96.0,alza
2023-02-22,93.92,-0.01921,95.76,baja
2023-02-23,92.71,-0.01288,95.46,baja
2023-02-24,92.93,0.00237,95.2,alza
2023-02-27,93.66,0.00786,95.06,alza
2023-02-28,93.85,0.00203,94.77,alza
2023-03-01,93.78,-0.00075,94.46,baja
2023-03-02,93.54,-0.00256,94.23,baja
2023-03-03,92.19,-0.01443,93.79,baja
2023-03-06,91.57,-0.00673,93.39,baja
2023-03-07,91.18,-0.00426,92.93,baja
2023-03-08,92.18,0.01097,92.76,alza
2023-03-09,92.53,0.0038,92.74,alza
2023-03-10,90.94,-0.01718,92.54,baja
2023-03-13,91.27,0.00363,92.3,alza
2023-03-14,90.96,-0.0034,92.01,baja
2023-03-15,90.38,-0.00638,91.67,baja
2023-03-16,90.97,0.00653,91.42,alza
2023-03-17,91.94,0.01066,91.39,alza
2023-03-20,92.83,0.00968,91.52,alza
2023-03-21,92.09,-0.00797,91.61,baja
2023-03-22,91.84,-0.00271,91.58,baja
2023-03-23,92.18,0.0037,91.54,alza
2023-03-24,93.12,0.0102,91.76,alza
2023-03-27,92.71,-0.0044,91.9,baja
2023-03-28,92.58,-0.0014,92.06,baja
2023-03-29,91.59,-0.01069,92.18,baja
2023-03-30,90.53,-0.01157,92.14,baja
