texto,sentimiento,num_palabras
el fondo de inversion tiene una plataforma muy intuitiva y facil de usar.,positivo,13
"Excelente atencion al cliente, la cooperativa resolvio mi consulta muy rapido.",positivo,11
El equipo de la casa de bolsa fue muy profesional al explicarme mis opciones de inversion.,positivo,16
Estoy feliz con la rentabilidad que me ha dado la entidad crediticia este trimestre.,positivo,14
Estoy feliz con la rentabilidad que me ha dado el fondo de inversion este trimestre.,positivo,15
"la aseguradora me cobro cargos que nunca me explicaron, muy mala experiencia.",negativo,12
la casa de bolsa incumplio el contrato y no hay forma de contactarlos.,negativo,13
la cooperativa ofrece tasas de interes competitivas y un soporte confiable.,positivo,11
"Excelente atencion al cliente, la entidad crediticia resolvio mi consulta muy rapido.",positivo,12
"La plataforma de la casa de bolsa se cae constantemente, es muy poco confiable.",negativo,14
"Recomiendo totalmente la app de pagos, las comisiones son bajas y el servicio es excelente.",positivo,15
la cooperativa tiene tasas de interes abusivas comparadas con la competencia.,negativo,11
"el fondo de inversion cumplio con todo lo prometido, confio plenamente en ellos.",positivo,13
"No recomiendo la plataforma de trading, el servicio al cliente es terrible.",negativo,12
"la casa de bolsa cumplio con todo lo prometido, confio plenamente en ellos.",positivo,13
el banco incumplio el contrato y no hay forma de contactarlos.,negativo,11
La app de la app de pagos tiene errores constantes y perdi una operacion importante.,negativo,15
Estoy muy satisfecho con el rendimiento de mi inversion en la app de pagos.,positivo,14
El proceso con la aseguradora fue lento y lleno de trabas innecesarias.,negativo,12
"Pesima atencion al cliente, la app de pagos nunca respondio mis reclamos.",negativo,12
"Pesima atencion al cliente, el asesor financiero nunca respondio mis reclamos.",negativo,11
Estoy muy satisfecho con el rendimiento de mi inversion en la entidad crediticia.,positivo,13
la app de pagos incumplio el contrato y no hay forma de contactarlos.,negativo,13
El proceso de aprobacion de mi credito con el banco fue rapido y sin complicaciones.,positivo,15
"la cooperativa me cobro cargos que nunca me explicaron, muy mala experiencia.",negativo,12
El proceso con el banco fue lento y lleno de trabas innecesarias.,negativo,12
Estoy muy satisfecho con el rendimiento de mi inversion en el banco.,positivo,12
la fintech tiene tasas de interes abusivas comparadas con la competencia.,negativo,11
el asesor financiero incumplio el contrato y no hay forma de contactarlos.,negativo,12
El proceso con la casa de bolsa fue lento y lleno de trabas innecesarias.,negativo,14
El equipo de la cooperativa fue muy profesional al explicarme mis opciones de inversion.,positivo,14
Estoy furioso con la plataforma de trading por el retraso injustificado en mi retiro de fondos.,negativo,16
la app de pagos tiene una plataforma muy intuitiva y facil de usar.,positivo,13
La app de la aseguradora tiene errores constantes y perdi una operacion importante.,negativo,13
Estoy muy satisfecho con el rendimiento de mi inversion en la plataforma de trading.,positivo,14
La app de la entidad crediticia es estable y nunca he tenido problemas para operar.,positivo,15
"Muy decepcionado con la aseguradora, no cumplieron lo que ofrecian.",negativo,10
"la app de pagos me devolvio mi dinero de forma inmediata ante un reclamo, gran servicio.",positivo,16
"Muy buena experiencia con la entidad crediticia, superaron mis expectativas.",positivo,10
"la app de pagos me cobro cargos que nunca me explicaron, muy mala experiencia.",negativo,14
Estoy furioso con el asesor financiero por el retraso injustificado en mi retiro de fondos.,negativo,15
"la aseguradora cumplio con todo lo prometido, confio plenamente en ellos.",positivo,11
Estoy furioso con la fintech por el retraso injustificado en mi retiro de fondos.,negativo,14
Estoy muy satisfecho con el rendimiento de mi inversion en la cooperativa.,positivo,12
El proceso con la cooperativa fue lento y lleno de trabas innecesarias.,negativo,12
La app de la cooperativa es estable y nunca he tenido problemas para operar.,positivo,14
"No recomiendo la app de pagos, el servicio al cliente es terrible.",negativo,12
El proceso de aprobacion de mi credito con la plataforma de trading fue rapido y sin complicaciones.,positivo,17
Perdi dinero por las altas comisiones ocultas de la entidad crediticia.,negativo,11
La app de el banco es estable y nunca he tenido problemas para operar.,positivo,14
el fondo de inversion tiene tasas de interes abusivas comparadas con la competencia.,negativo,13
La app de la cooperativa tiene errores constantes y perdi una operacion importante.,negativo,13
el asesor financiero tiene tasas de interes abusivas comparadas con la competencia.,negativo,12
"Muy decepcionado con la casa de bolsa, no cumplieron lo que ofrecian.",negativo,12
Estoy furioso con el fondo de inversion por el retraso injustificado en mi retiro de fondos.,negativo,16
la entidad crediticia tiene tasas de interes abusivas comparadas con la competencia.,negativo,12
"la app de pagos cumplio con todo lo prometido, confio plenamente en ellos.",positivo,13
El asesor de la entidad crediticia me dio informacion incorrecta sobre mi inversion.,negativo,13
"Muy buena experiencia con la casa de bolsa, superaron mis expectativas.",positivo,11
Perdi dinero por las altas comisiones ocultas de la cooperativa.,negativo,10
El equipo de la app de pagos fue muy profesional al explicarme mis opciones de inversion.,positivo,16
"Pesima atencion al cliente, la cooperativa nunca respondio mis reclamos.",negativo,10
"Pesima atencion al cliente, el banco nunca respondio mis reclamos.",negativo,10
La app de el asesor financiero es estable y nunca he tenido problemas para operar.,positivo,15
Estoy feliz con la rentabilidad que me ha dado la fintech este trimestre.,positivo,13
La app de la plataforma de trading es estable y nunca he tenido problemas para operar.,positivo,16
Estoy feliz con la rentabilidad que me ha dado la plataforma de trading este trimestre.,positivo,15
el fondo de inversion ofrece tasas de interes competitivas y un soporte confiable.,positivo,13
"el asesor financiero cumplio con todo lo prometido, confio plenamente en ellos.",positivo,12
"Muy decepcionado con el fondo de inversion, no cumplieron lo que ofrecian.",negativo,12
"el asesor financiero me cobro cargos que nunca me explicaron, muy mala experiencia.",negativo,13
"la fintech cumplio con todo lo prometido, confio plenamente en ellos.",positivo,11
la entidad crediticia tiene una plataforma muy intuitiva y facil de usar.,positivo,12
"Pesima atencion al cliente, el fondo de inversion nunca respondio mis reclamos.",negativo,12
"Muy buena experiencia con la app de pagos, superaron mis expectativas.",positivo,11
la aseguradora ofrece tasas de interes competitivas y un soporte confiable.,positivo,11
"Excelente atencion al cliente, la app de pagos resolvio mi consulta muy rapido.",positivo,13
"la cooperativa me devolvio mi dinero de forma inmediata ante un reclamo, gran servicio.",positivo,14
"No recomiendo el fondo de inversion, el servicio al cliente es terrible.",negativo,12
El proceso con la entidad crediticia fue lento y lleno de trabas innecesarias.,negativo,13
